Sheryl Crow	Subway Ride	US
Grace Jones	Suffer	US
Eddie Cochran	Summertime Blues	US
Caribou	Sun	CA
Bob Marley & The Wailers	Sun Is Shining	JM
David Bowie	Sunday	UK
Aaron Tveit	Superboy and the Invisible Girl	US
RuPaul	Superstar	US
Scott Stapp	Surround Me	US
Ghostpoet	Survive It	UK
Vashti Bunyan	Swallow Song	UK
Ladyhawke	Sweet Fascination	NZ
Thiago Pethit	Sweet Funny Melody	BR
Chuck Berry	Sweet Little Sixteen	US
Beck	Sweet Sunshine	DK
Eddie Money	Take Me Home Tonight	US
Rick Astley	Take Me To Your Heart	UK
Dido	Take My Hand	UK
Lily Allen	Take My Place	UK
Leonard Cohen	Take This Waltz	CA
Justin Bieber	Take You	CA
Sam Hunt	Take Your Time	NZ
Amerie	Talkin' About	US
Skye Sweetnam	Tangled Up In Me	CA
Julia Marcell	Tarantino	PL
Alejandro Sanz	Te lo agradezco, pero no	ES
Elton John	Teacher I Need You	UK
Joss Stone	Teardrops	UK
Danny Elfman	Tears to Shed	US
David Bowie	Telling Lies	UK
Luomo	Tessio	FI
Pitty	Teto de Vidro	BR
Gotye	Thanks for Your Time	AU
Natalie Imbruglia	That Day	AU
Jeff Mills	The Bells	US
Rush	The Big Money	US
Alesha Dixon	The Boy Does Nothing	UK
Miley Cyrus	The Climb	US
Katie Melua	The Closest Thing to Crazy	UK
Ian Brown	The Dream And The Dreamer	UK
TobyMac	The Elements	US
Nile	The Fiends Who Come to Steal the Magick of the Deceased	US
Sia	The Fight	AU
The Tallest Man on Earth	The Gardener	SE
Sia	The Girl You Lost to Cocaine	AU
PJ Harvey	The Glorious Land	UK
Howard Shore	The Great Eye	CA
James Newton Howard	The Hanging Tree	US
Howard Shore	The King of the Golden Hall	CA
Common	The Light	US
Kate Bush	The Man With the Child in His Eyes	UK
Radical Face	The Mute	US
AFI	The Nephilim	US
Brittany Snow	The New Girl In Town	US
Martin Solveig	The Night Out	FR
Johnny Cash	The One On The Right Is On The Left	US
Glenn Frey	The One You Love	US
Zella Day	The Outlaw Josey Wales	US
YOB	The Screen	UK
Marilyn Manson	The Speed of Pain	US
Mac DeMarco	The Stars Keep On Calling My Name	CA
Marty Robbins	The Strawberry Roan	US
Moby	The Tired and the Hurt	US
Timbaland	The Way I Are	US
Frank Turner	The Way I Tend To Be	UK
Johnny Flynn	The Wrote & The Writ	UK
IU	The red shoes	KR
Grouper	They Moved Everything	US
Joni Mitchell	This Flight Tonight	CA
Lauren Daigle	This Girl	US
David Bowie	This Is Not America	UK
Sam Hunt	This Land Is Your Land	NZ
Kadhja Bonet	Thoughts Around Tea	US
Frank Sinatra	Three Coins in the Fountain	US
Alexi Murdoch	Through The Dark	UK
IU	Through the Night	KR
John Maus	Through the Skies for You	US
Iron & Wine	Time After Time	US
Irma Thomas	Time Is On My Side	US
Jack Johnson	Times Like These	US
Madeleine Peyroux	To Love You All Over Again	US
Jack Johnson	To The Sea	US
Ryan Hurd	To a T	US
Eric Burdon	Tobacco Road	UK
Danny Brown	Today	US
Paulina Rubio	Todo Mi Amor	MX
Emma Bunton	Too Many Teardrops	UK
Sufjan Stevens	Too Much	US
1010 Benja SL	Tragic X	US
Annie Lennox	Train in Vain	UK
Andrés Calamaro	Transito Lento	AR
Talvin Singh	Traveller	UK
Milton Nascimento	Travessia	BR
Alex Clare	Treading Water	UK
Azealia Banks	Treasure Island	US
Charlotte Gainsbourg	Trick Pony	FR
CLMD	Trouble	US
Keith Richards	Trouble	UK
Advance Base	True Love Death Dream	US
Twin Shadow	Truly	US
Colbie Caillat	Try	US
The Weeknd	Try Me	CA
Julieta Venegas	Tu calor	MX
Carpenter Brut	Turbo Killer	FR
Kylie Minogue	Turn It Into Love	AU
Kelela	Turn To Dust	US
Phil Collins	Two Hearts	UK
Jim Sullivan	U.F.O.	US
Joao Nogueira	Um Gago Apaixonado	BR
Michael Jackson	Unbreakable	US
Tori Kelly	Unbreakable Smile	US
Melanie C	Understand	UK
Gazelle Twin	Unflesh	UK
Alanis Morissette	Uninvited	CA
Thom Yorke	Unmade	UK
Alanis Morissette	Unprodigal Daughter	CA
Björk	Unravel	IS
Avril Lavigne	Unwanted	CA
Mac Miller	Up All Night	US
Grimes	Urban Twilight	CA
Darren Korb	Vagrant Song	US
Azealia Banks	Van Vogue	US
Lana Del Rey	Venice Bitch	US
Lisa Hannigan	Venn Diagram	IE
Little Simz	Venom	UK
Gal Costa	Verbos Do Amor	BR
Gloria Trevi	Vestida De Azúcar	MX
Vesta	Vielä1	US
Marika Hackman	Violet	UK
Madonna	Vogue	US
Madonna	Voices	US
Brooke Candy	Volcano	US
Calogero	Voler de nuit	ES
Norah Jones	Wake Me Up	US
Miley Cyrus	Wake Up America	US
Meghan Trainor	Walkashame	US
Eric Clapton	Walkin' Blues	UK
Srbuk	Walking Out	AM
Bob Marley & The Wailers	War	JM
Joan as Police Woman	Warning Bell	US
Lucy Rose	Watch Over	UK
Mayhem	Watchers	CA
Mac DeMarco	Watching Him Fade Away	CA
Clams Casino	Waterfalls	US
Kris Allen	Waves	US
Nick Drake	Way to Blue	UK
Tarja	We Are	FI
PJ Harvey	We Float	UK
Taylor Swift	Welcome to New York	US
Lana Del Rey	West Coast - ZHU Remix	US
Gary Clark Jr.	What About Us	US
John Mayer	Wheel	IN
Paul McCartney	When The Wind Is Blowing	UK
Linda Ronstadt	When Will I Be Loved	US
Morrissey	When You Open Your Legs	UK
Wild Nothing	Whenever I	US
Grouper	Where It Goes	US
Mark Knopfler	Wherever I Go	UK
Beck	Whiskeyclone, Hotel City 1997	DK
Adriana Caselotti	Whistle While You Work	US
AFI	White Offerings	US
Dol Ikara	White Queen	US
Red	Who We Are	PL
Annie Lennox	Why	UK
Glen Campbell	Wichita Lineman	US
The Weeknd	Wicked Games	CA
Patti Smith	Wicked Messenger	US
Johnny Cash	Wide Open Road	US
Sibylle Baier	Wim	DE
Leonard Cohen	Winter Lady	CA
Bernard Fanning	Wish You Well	AU
Frank Sinatra	Witchcraft	US
Lana Del Rey	Without You	US
Kanye West	Wolves	US
Frank Zappa	Wonderful Wino	US
Otsochodzi	Worldwide	PL
Captain Sensible	Wot	UK
Kate Bush	Wow	UK
PJ Harvey	Written on the Forehead	UK
Natalie Imbruglia	Wrong Impression	AU
Missy Elliott	X-tasy	US
Danny Brown	XXX	US
Ghost	Year Zero	UK
Becky G	You Love It	US
James Morrison	You Make It Real	AU
Jens Lekman	Your Arms Around Me	SE
Kylie Minogue	Your Disco Needs You	AU
Andromedik	Your Eyes	BE
Natalie Prass	Your Fool	US
Frank Zappa	Your Mouth	US
Ran-D	Zombie	NL
Washed Out	Zonked	US
Ariana Grande	everytime	US
Kendrick Lamar	i	US
Pedropiedra	sol mayor	CL
Joe Strummer	trash city	UK
